Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.00      0.15     0.00        1     0.00     0.00  std::_Head_base<1ul, std::default_delete<Interconnect>, true>::_M_head(std::_Head_base<1ul, std::default_delete<Interconnect>, true>&)
  0.00      0.15     0.00        1     0.00     0.00  std::_Head_base<1ul, std::default_delete<Interconnect>, true>::_Head_base()
  0.00      0.15     0.00        1     0.00     0.00  std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::get_deleter()
  0.00      0.15     0.00        1     0.00     0.00  std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::unique_ptr<std::default_delete<Interconnect>, void>(Interconnect*)
  0.00      0.15     0.00        1     0.00    13.71  std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::~unique_ptr()
  0.00      0.15     0.00        1     0.00     0.00  std::_Tuple_impl<0ul, Interconnect*, std::default_delete<Interconnect> >::_Tuple_impl()
  0.00      0.15     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Interconnect> >::_M_head(std::_Tuple_impl<1ul, std::default_delete<Interconnect> >&)
  0.00      0.15     0.00        1     0.00     0.00  std::_Tuple_impl<1ul, std::default_delete<Interconnect> >::_Tuple_impl()
  0.00      0.15     0.00        1     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      0.15     0.00        1     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_Vector_impl::_Vector_impl()
  0.00      0.15     0.00        1     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_Vector_impl::~_Vector_impl()
  0.00      0.15     0.00        1     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::_Vector_base()
  0.00      0.15     0.00        1     0.00     0.00  std::_Vector_base<Range, std::allocator<Range> >::~_Vector_base()
  0.00      0.15     0.00        1     0.00     0.00  std::pointer_traits<char*>::pointer_to(char&)
  0.00      0.15     0.00        1     0.00     0.00  std::__uniq_ptr_impl<Interconnect, std::default_delete<Interconnect> >::_M_deleter()
  0.00      0.15     0.00        1     0.00     0.00  std::__uniq_ptr_impl<Interconnect, std::default_delete<Interconnect> >::__uniq_ptr_impl(Interconnect*)
  0.00      0.15     0.00        1     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.00      0.15     0.00        1     0.00     0.00  std::tuple<Interconnect*, std::default_delete<Interconnect> >::tuple<Interconnect*, std::default_delete<Interconnect>, true>()
  0.00      0.15     0.00        1     0.00     0.00  std::vector<Range, std::allocator<Range> >::vector()
  0.00      0.15     0.00        1     0.00    13.71  std::vector<Range, std::allocator<Range> >::~vector()
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_length(unsigned long)
  0.00      0.15     0.00        1     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string()
  0.00      0.15     0.00        1     0.00     0.00  char* std::__addressof<char>(char&)
  0.00      0.15     0.00        1     0.00   181.72  std::_MakeUniq<Interconnect>::__single_object std::make_unique<Interconnect>()
  0.00      0.15     0.00        1     0.00     0.00  std::default_delete<Interconnect>& std::__get_helper<1ul, std::default_delete<Interconnect>>(std::_Tuple_impl<1ul, std::default_delete<Interconnect>>&)
  0.00      0.15     0.00        1     0.00     0.00  std::tuple_element<1ul, std::tuple<Interconnect*, std::default_delete<Interconnect> > >::type& std::get<1ul, Interconnect*, std::default_delete<Interconnect> >(std::tuple<Interconnect*, std::default_delete<Interconnect> >&)
  0.00      0.15     0.00        1     0.00     0.00  std::remove_reference<std::allocator<char>&>::type&& std::move<std::allocator<char>&>(std::allocator<char>&)
  0.00      0.15     0.00        1     0.00     0.00  char* std::addressof<char>(char&)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 6.66% of 0.15 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     93.3    0.02    0.12                 main [1]
                0.00    0.11 1000000/1000000     Interconnect::load(unsigned int) const [2]
                0.00    0.01 1000000/1000000     std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int) [11]
                0.00    0.00       1/1           std::_MakeUniq<Interconnect>::__single_object std::make_unique<Interconnect>() [20]
                0.00    0.00       1/1           std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::~unique_ptr() [30]
                0.00    0.00 1000000/1000000     std::unique_ptr<Interconnect, std::default_delete<Interconnect> >::operator->() const [46]
                0.00    0.00       2/2           std::operator|(std::_Ios_Openmode, std::_Ios_Openmode) [116]
                0.00    0.00       2/2           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string() [111]
                0.00    0.00       1/1           std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string() [147]
-----------------------------------------------
                0.00    0.11 1000000/1000000     main [1]
[2]     73.3    0.00    0.11 1000000         Interconnect::load(unsigned int) const [2]
                0.04    0.07 1000000/1000000     Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
                0.00    0.00 1000000/10997992     std::vector<Range, std::allocator<Range> >::size() const [4]
                0.00    0.00 1000000/1000000     std::optional<Range>::~optional() [18]
                0.00    0.00 1000000/1000000     Interconnect::maskRegion(unsigned int) const [44]
                0.00    0.00 1000000/1000000     bool std::operator!=<Range>(std::optional<Range> const&, std::nullopt_t) [55]
                0.00    0.00    5012/5012        std::optional<Range>::operator*() & [62]
                0.00    0.00    5012/5012        Range::offset(unsigned int) const [61]
-----------------------------------------------
                             3998984             Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
                0.04    0.07 1000000/1000000     Interconnect::load(unsigned int) const [2]
[3]     71.5    0.04    0.07 1000000+3998984 Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
                0.02    0.00 4998984/4998984     Range::contains(unsigned int) const [5]
                0.01    0.00 4998984/10997992     std::vector<Range, std::allocator<Range> >::size() const [4]
                0.00    0.01 4998984/4998984     std::vector<Range, std::allocator<Range> >::at(unsigned long) const [7]
                0.00    0.01  994988/994988      std::optional<Range>::optional(std::nullopt_t) [13]
                0.01    0.00 4998984/5004061     Range::~Range() [15]
                0.00    0.00    5012/5012        std::optional<Range>::optional<Range&, true>(Range&) [66]
                             3998984             Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
-----------------------------------------------
                0.00    0.00      24/10997992     std::vector<Range, std::allocator<Range> >::_M_check_len(unsigned long, char const*) const [27]
                0.00    0.00 1000000/10997992     Interconnect::load(unsigned int) const [2]
                0.01    0.00 4998984/10997992     Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
                0.01    0.00 4998984/10997992     std::vector<Range, std::allocator<Range> >::_M_range_check(unsigned long) const [6]
[4]     20.0    0.03    0.00 10997992         std::vector<Range, std::allocator<Range> >::size() const [4]
-----------------------------------------------
                0.02    0.00 4998984/4998984     Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
[5]     13.3    0.02    0.00 4998984         Range::contains(unsigned int) const [5]
-----------------------------------------------
                0.00    0.01 4998984/4998984     std::vector<Range, std::allocator<Range> >::at(unsigned long) const [7]
[6]      9.1    0.00    0.01 4998984         std::vector<Range, std::allocator<Range> >::_M_range_check(unsigned long) const [6]
                0.01    0.00 4998984/10997992     std::vector<Range, std::allocator<Range> >::size() const [4]
-----------------------------------------------
                0.00    0.01 4998984/4998984     Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
[7]      9.1    0.00    0.01 4998984         std::vector<Range, std::allocator<Range> >::at(unsigned long) const [7]
                0.00    0.01 4998984/4998984     std::vector<Range, std::allocator<Range> >::_M_range_check(unsigned long) const [6]
                0.00    0.00 4998984/4998984     std::vector<Range, std::allocator<Range> >::operator[](unsigned long) const [38]
-----------------------------------------------
                0.00    0.01 2000000/2000000     std::dec(std::ios_base&) [14]
[8]      6.7    0.00    0.01 2000000         std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) [8]
                0.01    0.00 2000000/2000000     std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) [9]
                0.00    0.00 2000000/2000000     std::operator~(std::_Ios_Fmtflags) [41]
                0.00    0.00 2000000/2000000     std::operator&=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) [40]
                0.00    0.00 2000000/4000000     std::operator&(std::_Ios_Fmtflags, std::_Ios_Fmtflags) [39]
-----------------------------------------------
                0.01    0.00 2000000/2000000     std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) [8]
[9]      6.7    0.01    0.00 2000000         std::operator|=(std::_Ios_Fmtflags&, std::_Ios_Fmtflags) [9]
                0.00    0.00 2000000/2000000     std::operator|(std::_Ios_Fmtflags, std::_Ios_Fmtflags) [42]
-----------------------------------------------
                0.01    0.00 1000000/1000000     std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int) [11]
[10]     6.7    0.01    0.00 1000000         int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int) [10]
                0.00    0.00 1000000/1000000     __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::_Save_errno() [57]
                0.00    0.00 1000000/1000000     __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Range_chk::_S_chk(long, std::integral_constant<bool, true>) [56]
                0.00    0.00 1000000/1000000     __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int)::_Save_errno::~_Save_errno() [58]
-----------------------------------------------
                0.00    0.01 1000000/1000000     main [1]
[11]     6.7    0.00    0.01 1000000         std::__cxx11::stoi(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long*, int) [11]
                0.01    0.00 1000000/1000000     int __gnu_cxx::__stoa<long, int, char, int>(long (*)(char const*, char**, int), char const*, char const*, unsigned long*, int) [10]
                0.00    0.00 1000000/1000000     std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::c_str() const [49]
-----------------------------------------------
                0.01    0.00  994988/994988      std::optional<Range>::optional(std::nullopt_t) [13]
[12]     6.7    0.01    0.00  994988         std::_Optional_base<Range>::_Optional_base(std::nullopt_t) [12]
                0.00    0.00  994988/994988      std::_Optional_payload<Range, false, false>::_Optional_payload() [59]
-----------------------------------------------
                0.00    0.01  994988/994988      Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
[13]     6.7    0.00    0.01  994988         std::optional<Range>::optional(std::nullopt_t) [13]
                0.01    0.00  994988/994988      std::_Optional_base<Range>::_Optional_base(std::nullopt_t) [12]
-----------------------------------------------
                                                 <spontaneous>
[14]     6.7    0.00    0.01                 std::dec(std::ios_base&) [14]
                0.00    0.01 2000000/2000000     std::ios_base::setf(std::_Ios_Fmtflags, std::_Ios_Fmtflags) [8]
-----------------------------------------------
                0.00    0.00      17/5004061     Interconnect::Interconnect() [19]
                0.00    0.00      48/5004061     void std::_Destroy<Range>(Range*) [23]
                0.00    0.00    5012/5004061     std::_Optional_payload<Range, false, false>::~_Optional_payload() [17]
                0.01    0.00 4998984/5004061     Interconnect::binarySearch(unsigned int, std::vector<Range, std::allocator<Range> > const*, unsigned int, unsigned int) const [3]
[15]     6.7    0.01    0.00 5004061         Range::~Range() [15]
-----------------------------------------------
                0.00    0.00 1000000/1000000     std::optional<Range>::~optional() [18]
[16]     0.0    0.00    0.00 1000000         std::_Optional_base<Range>::~_Optional_base() [16]
